;Players;Values
12;Brad Smith;1,50 Mio. €  
13;Rhoys Wiggins;500 Tsd. €  
14;Adam Smith;5,00 Mio. €  
15;Simon Francis;2,50 Mio. €  
16;Matt Butcher; 
17;Lewis Cook;20,00 Mio. €  
18;Harry Arter;7,00 Mio. €  
19;Dan Gosling;3,50 Mio. €  
20;Andrew Surman;2,50 Mio. €  
21;Emerson Hyndman;1,00 Mio. €  
22;Kyle Taylor; 
23;Ryan Fraser;6,00 Mio. €  
24;Junior Stanislas;4,50 Mio. €  
25;Marc Pugh;1,50 Mio. €  
26;Jordon Ibe;9,00 Mio. €  
27;Connor Mahoney;250 Tsd. €  
28;Joshua King;10,00 Mio. €  
29;Benik Afobe;10,00 Mio. €  
30;Callum Wilson;10,00 Mio. €  
31;Lys Mousset;4,00 Mio. €  
32;Lewis Grabban;3,00 Mio. €  
33;Jermain Defoe;2,50 Mio. €  
34;Mikael Ndjoli; 
0;Orestis Karnezis;3,00 Mio. €  
1;Costel Pantilimon;1,50 Mio. €  
2;Heurelho Gomes;1,00 Mio. €  
3;Daniel Bachmann;250 Tsd. €  
4;Christian Kabasele;7,00 Mio. €  
5;Sebastian Prödl;4,00 Mio. €  
6;Miguel Britos;3,50 Mio. €  
7;Craig Cathcart;3,50 Mio. €  
8;Younès Kaboul;2,00 Mio. €  
9;Adrian Mariappa;1,50 Mio. €  
10;Molla Wagué;1,50 Mio. €  
11;Tommie Hoban;750 Tsd. €  
12;Joy Mukena; 
13;Marvin Zeegelaar;3,00 Mio. €  
14;Jose Cholevas;2,00 Mio. €  
15;Daryl Janmaat;6,00 Mio. €  
16;Kiko Femenía;5,00 Mio. €  
17;Étienne Capoue;8,00 Mio. €  
18;Nathaniel Chalobah;5,00 Mio. €  
19;Abdoulaye Doucouré;15,00 Mio. €  
20;Will Hughes;10,00 Mio. €  
21;Tom Cleverley;9,00 Mio. €  
22;Didier Ndong;8,00 Mio. €  
23;Ben Watson;1,00 Mio. €  
24;Carl Stewart; 
25;Roberto Pereyra;10,00 Mio. €  
26;Gerard Deulofeu;14,00 Mio. €  
27;Isaac Success;2,00 Mio. €  
28;André Carrillo;6,00 Mio. €  
29;Nordin Amrabat;3,00 Mio. €  
30;Dodi Lukebakio;3,00 Mio. €  
31;Richarlison;25,00 Mio. €  
32;Andre Gray;15,00 Mio. €  
33;Troy Deeney;10,00 Mio. €  
34;Stefano Okaka;5,00 Mio. €  
35;Jerome Sinclair;1,50 Mio. €  
36;Michael Folivi; 
0;Fraser Forster;15,00 Mio. €  
1;Alex McCarthy;2,50 Mio. €  
